text_combined,label
"Тема: Домашние дела. Суп готов, по дороге домой купи хлеб и колбасу. Обычное безопасное письмо #1.",safe
"Subject: Shopping list. Dinner is ready, please buy bread and cheese on your way home. Regular safe email sample #2.",safe
"Тема: Планы на вечер. Я буду дома после семи, если сможешь, захвати молоко и яблоки. Обычное безопасное письмо #3.",safe
"Subject: Calendar update. I will arrive after six, please pick up milk and bananas if you pass the store. Regular safe email sample #4.",safe
"Тема: Семейные вопросы. Напоминаю, что завтра встречаемся в офисе в десять утра у переговорной. Обычное безопасное письмо #5.",safe
Subject: Weekend plan. Tomorrow's meeting is still at 10:00 and the room has not changed. Regular safe email sample #6.,safe
"Тема: Рабочая заметка. Пожалуйста, посмотри обычный список задач и отметь выполненные пункты. Обычное безопасное письмо #7.",safe
"Subject: Office update. I shared the draft notes, please review them whenever you have time. Regular safe email sample #8.",safe
"Тема: Документы. Сегодня созвон переносится на 16:30, запись в календаре остаётся прежней. Обычное безопасное письмо #9.",safe
"Subject: Reminder. The call is moved to 4:30 pm, the calendar entry is the same. Regular safe email sample #10.",safe
Тема: Учёба. Не забудь взять документы со стола и положить их в синюю папку. Обычное безопасное письмо #11.,safe
Subject: Work note. Please take the printed papers from the desk and place them in the blue folder. Regular safe email sample #12.,safe
"Тема: Созвон. После работы давай зайдём в магазин за овощами, рисом и чаем. Обычное безопасное письмо #13.",safe
"Subject: Team note. We can stop by the grocery store later for rice, tea and vegetables. Regular safe email sample #14.",safe
"Тема: Календарь. Я отправил обычный черновик отчёта, посмотри формулировки, когда будет время. Обычное безопасное письмо #15.",safe
"Subject: Pickup request. The report draft is attached for normal review, no rush from my side. Regular safe email sample #16.",safe
"Тема: Для семьи. Если будешь рядом с аптекой, купи, пожалуйста, пластырь и витамины. Обычное безопасное письмо #17.",safe
"Subject: Notes. If you are near the pharmacy, please buy vitamins and bandages. Regular safe email sample #18.",safe
"Тема: Список дел. Погода вечером прохладная, возьми куртку, если пойдёшь пешком. Обычное безопасное письмо #19.",safe
"Subject: Shopping list. It may be chilly tonight, take a jacket if you walk home. Regular safe email sample #20.",safe
"Тема: Домашние дела. На выходных планируем поехать к родителям, напиши, удобно ли тебе в субботу. Обычное безопасное письмо #21.",safe
"Subject: Calendar update. We plan to visit the family on Saturday, let me know if that works for you. Regular safe email sample #22.",safe
"Тема: Планы на вечер. Я положил квитанции в верхний ящик, чтобы потом спокойно их разобрать. Обычное безопасное письмо #23.",safe
Subject: Weekend plan. The receipts are in the top drawer so we can sort them later. Regular safe email sample #24.,safe
"Тема: Семейные вопросы. На кухне закончился кофе, можно купить обычную упаковку по пути. Обычное безопасное письмо #25.",safe
"Subject: Office update. We ran out of coffee in the kitchen, please buy a regular pack. Regular safe email sample #26.",safe
"Тема: Рабочая заметка. В расписании занятий изменений нет, аудитория остаётся той же. Обычное безопасное письмо #27.",safe
"Subject: Reminder. There are no changes in the class schedule, same room as before. Regular safe email sample #28.",safe
"Тема: Документы. Я забронировал столик на пятницу, напомни, если планы изменятся. Обычное безопасное письмо #29.",safe
"Subject: Work note. I booked a table for Friday evening, tell me if your plans change. Regular safe email sample #30.",safe
"Тема: Учёба. Подготовил заметки по проекту, без спешки прочитай их завтра утром. Обычное безопасное письмо #31.",safe
"Subject: Team note. I prepared simple project notes, you can read them tomorrow morning. Regular safe email sample #32.",safe
"Тема: Созвон. Если удобно, забери посылку из пункта выдачи после обеда. Обычное безопасное письмо #33.",safe
Subject: Pickup request. Please collect the package from the pickup point after lunch. Regular safe email sample #34.,safe
"Тема: Календарь. Оставил ключи у консьержа, если приедешь раньше меня. Обычное безопасное письмо #35.",safe
Subject: Notes. I left the keys with the concierge in case you arrive earlier. Regular safe email sample #36.,safe
"Тема: Для семьи. Список продуктов обновил: хлеб, яйца, макароны, томаты и сыр. Обычное безопасное письмо #37.",safe
"Subject: Shopping list. The grocery list is updated: bread, eggs, pasta, tomatoes and cheese. Regular safe email sample #38.",safe
"Тема: Список дел. Сегодня в целом всё спокойно, просто напоминаю про встречу после обеда. Обычное безопасное письмо #39.",safe
"Subject: Calendar update. Everything is calm today, this is just a friendly reminder about the meeting. Regular safe email sample #40.",safe
"Тема: Домашние дела. Суп готов, по дороге домой купи хлеб и колбасу. Обычное безопасное письмо #41.",safe
"Subject: Weekend plan. Dinner is ready, please buy bread and cheese on your way home. Regular safe email sample #42.",safe
"Тема: Планы на вечер. Я буду дома после семи, если сможешь, захвати молоко и яблоки. Обычное безопасное письмо #43.",safe
"Subject: Office update. I will arrive after six, please pick up milk and bananas if you pass the store. Regular safe email sample #44.",safe
"Тема: Семейные вопросы. Напоминаю, что завтра встречаемся в офисе в десять утра у переговорной. Обычное безопасное письмо #45.",safe
Subject: Reminder. Tomorrow's meeting is still at 10:00 and the room has not changed. Regular safe email sample #46.,safe
"Тема: Рабочая заметка. Пожалуйста, посмотри обычный список задач и отметь выполненные пункты. Обычное безопасное письмо #47.",safe
"Subject: Work note. I shared the draft notes, please review them whenever you have time. Regular safe email sample #48.",safe
"Тема: Документы. Сегодня созвон переносится на 16:30, запись в календаре остаётся прежней. Обычное безопасное письмо #49.",safe
"Subject: Team note. The call is moved to 4:30 pm, the calendar entry is the same. Regular safe email sample #50.",safe
Тема: Учёба. Не забудь взять документы со стола и положить их в синюю папку. Обычное безопасное письмо #51.,safe
Subject: Pickup request. Please take the printed papers from the desk and place them in the blue folder. Regular safe email sample #52.,safe
"Тема: Созвон. После работы давай зайдём в магазин за овощами, рисом и чаем. Обычное безопасное письмо #53.",safe
"Subject: Notes. We can stop by the grocery store later for rice, tea and vegetables. Regular safe email sample #54.",safe
"Тема: Календарь. Я отправил обычный черновик отчёта, посмотри формулировки, когда будет время. Обычное безопасное письмо #55.",safe
"Subject: Shopping list. The report draft is attached for normal review, no rush from my side. Regular safe email sample #56.",safe
"Тема: Для семьи. Если будешь рядом с аптекой, купи, пожалуйста, пластырь и витамины. Обычное безопасное письмо #57.",safe
"Subject: Calendar update. If you are near the pharmacy, please buy vitamins and bandages. Regular safe email sample #58.",safe
"Тема: Список дел. Погода вечером прохладная, возьми куртку, если пойдёшь пешком. Обычное безопасное письмо #59.",safe
"Subject: Weekend plan. It may be chilly tonight, take a jacket if you walk home. Regular safe email sample #60.",safe
"Тема: Домашние дела. На выходных планируем поехать к родителям, напиши, удобно ли тебе в субботу. Обычное безопасное письмо #61.",safe
"Subject: Office update. We plan to visit the family on Saturday, let me know if that works for you. Regular safe email sample #62.",safe
"Тема: Планы на вечер. Я положил квитанции в верхний ящик, чтобы потом спокойно их разобрать. Обычное безопасное письмо #63.",safe
Subject: Reminder. The receipts are in the top drawer so we can sort them later. Regular safe email sample #64.,safe
"Тема: Семейные вопросы. На кухне закончился кофе, можно купить обычную упаковку по пути. Обычное безопасное письмо #65.",safe
"Subject: Work note. We ran out of coffee in the kitchen, please buy a regular pack. Regular safe email sample #66.",safe
"Тема: Рабочая заметка. В расписании занятий изменений нет, аудитория остаётся той же. Обычное безопасное письмо #67.",safe
"Subject: Team note. There are no changes in the class schedule, same room as before. Regular safe email sample #68.",safe
"Тема: Документы. Я забронировал столик на пятницу, напомни, если планы изменятся. Обычное безопасное письмо #69.",safe
"Subject: Pickup request. I booked a table for Friday evening, tell me if your plans change. Regular safe email sample #70.",safe
"Тема: Учёба. Подготовил заметки по проекту, без спешки прочитай их завтра утром. Обычное безопасное письмо #71.",safe
"Subject: Notes. I prepared simple project notes, you can read them tomorrow morning. Regular safe email sample #72.",safe
"Тема: Созвон. Если удобно, забери посылку из пункта выдачи после обеда. Обычное безопасное письмо #73.",safe
Subject: Shopping list. Please collect the package from the pickup point after lunch. Regular safe email sample #74.,safe
"Тема: Календарь. Оставил ключи у консьержа, если приедешь раньше меня. Обычное безопасное письмо #75.",safe
