text,label
Ваш приз уже готов: free ticket package. Срочно позвоните 09061209465 и подтвердите получение.,phishing
"Вы победитель акции! Заберите 1 year cinema pass for 2, позвоните по номеру +1 202 555 0148.",phishing
Ваш приз уже готов: 1 year cinema pass for 2. Срочно позвоните +1 202 555 0148 и подтвердите получение.,phishing
Поздравляем! Вы выиграли holiday voucher. Позвоните сейчас по номеру +1 202 555 0148.,phishing
"Вы победитель акции! Заберите free ticket package, позвоните по номеру 8 800 555 35 35.",phishing
Специальное предложение: VIP pass бесплатно. Наберите 8 800 555 35 35 прямо сейчас.,phishing
Поздравляем! Вы выиграли VIP pass. Позвоните сейчас по номеру +44 7700 900123.,phishing
Поздравляем! Вы выиграли holiday voucher. Позвоните сейчас по номеру 8 800 555 35 35.,phishing
Ваш приз уже готов: holiday voucher. Срочно позвоните +44 7700 900123 и подтвердите получение.,phishing
Ваш приз уже готов: gift card. Срочно позвоните 09061209465 и подтвердите получение.,phishing
Специальное предложение: gift card бесплатно. Наберите 09061209465 прямо сейчас.,phishing
Ваш приз уже готов: holiday voucher. Срочно позвоните +44 7700 900123 и подтвердите получение.,phishing
"Вы победитель акции! Заберите bonus reward, позвоните по номеру +44 7700 900123.",phishing
"Вы победитель акции! Заберите 1 year cinema pass for 2, позвоните по номеру 09061209465.",phishing
Ваш приз уже готов: holiday voucher. Срочно позвоните +44 7700 900123 и подтвердите получение.,phishing
"Вы победитель акции! Заберите gift card, позвоните по номеру 8 800 555 35 35.",phishing
Специальное предложение: free ticket package бесплатно. Наберите 09061209465 прямо сейчас.,phishing
"Вы победитель акции! Заберите bonus reward, позвоните по номеру +44 7700 900123.",phishing
Ваш приз уже готов: VIP pass. Срочно позвоните +1 202 555 0148 и подтвердите получение.,phishing
"Вы победитель акции! Заберите holiday voucher, позвоните по номеру 8 800 555 35 35.",phishing
Специальное предложение: free ticket package бесплатно. Наберите 8 800 555 35 35 прямо сейчас.,phishing
Ваш приз уже готов: bonus reward. Срочно позвоните 09061209465 и подтвердите получение.,phishing
"Вы победитель акции! Заберите VIP pass, позвоните по номеру 8 800 555 35 35.",phishing
Поздравляем! Вы выиграли bonus reward. Позвоните сейчас по номеру +1 202 555 0148.,phishing
Ваш приз уже готов: VIP pass. Срочно позвоните 09061209465 и подтвердите получение.,phishing
Ваш приз уже готов: VIP pass. Срочно позвоните 8 800 555 35 35 и подтвердите получение.,phishing
Специальное предложение: VIP pass бесплатно. Наберите 8 800 555 35 35 прямо сейчас.,phishing
"Вы победитель акции! Заберите gift card, позвоните по номеру +1 202 555 0148.",phishing
Специальное предложение: gift card бесплатно. Наберите 09061209465 прямо сейчас.,phishing
"Вы победитель акции! Заберите bonus reward, позвоните по номеру 8 800 555 35 35.",phishing
Ваш приз уже готов: free ticket package. Срочно позвоните 8 800 555 35 35 и подтвердите получение.,phishing
Специальное предложение: free ticket package бесплатно. Наберите 8 800 555 35 35 прямо сейчас.,phishing
"Вы победитель акции! Заберите gift card, позвоните по номеру 8 800 555 35 35.",phishing
"Вы победитель акции! Заберите gift card, позвоните по номеру 09061209465.",phishing
Поздравляем! Вы выиграли 1 year cinema pass for 2. Позвоните сейчас по номеру +44 7700 900123.,phishing
Ваш приз уже готов: VIP pass. Срочно позвоните 8 800 555 35 35 и подтвердите получение.,phishing
Поздравляем! Вы выиграли bonus reward. Позвоните сейчас по номеру 09061209465.,phishing
"Вы победитель акции! Заберите free ticket package, позвоните по номеру 09061209465.",phishing
Ваш приз уже готов: free ticket package. Срочно позвоните 09061209465 и подтвердите получение.,phishing
Поздравляем! Вы выиграли holiday voucher. Позвоните сейчас по номеру 09061209465.,phishing
Поздравляем! Вы выиграли 1 year cinema pass for 2. Позвоните сейчас по номеру 09061209465.,phishing
"Вы победитель акции! Заберите gift card, позвоните по номеру 8 800 555 35 35.",phishing
Специальное предложение: holiday voucher бесплатно. Наберите +44 7700 900123 прямо сейчас.,phishing
"Вы победитель акции! Заберите 1 year cinema pass for 2, позвоните по номеру +1 202 555 0148.",phishing
Специальное предложение: VIP pass бесплатно. Наберите 09061209465 прямо сейчас.,phishing
Поздравляем! Вы выиграли free ticket package. Позвоните сейчас по номеру +1 202 555 0148.,phishing
"Вы победитель акции! Заберите VIP pass, позвоните по номеру 09061209465.",phishing
Специальное предложение: 1 year cinema pass for 2 бесплатно. Наберите 09061209465 прямо сейчас.,phishing
Ваш приз уже готов: 1 year cinema pass for 2. Срочно позвоните +44 7700 900123 и подтвердите получение.,phishing
Специальное предложение: VIP pass бесплатно. Наберите +1 202 555 0148 прямо сейчас.,phishing
"Вы победитель акции! Заберите gift card, позвоните по номеру 09061209465.",phishing
Ваш приз уже готов: 1 year cinema pass for 2. Срочно позвоните +1 202 555 0148 и подтвердите получение.,phishing
Специальное предложение: holiday voucher бесплатно. Наберите +44 7700 900123 прямо сейчас.,phishing
Поздравляем! Вы выиграли VIP pass. Позвоните сейчас по номеру 09061209465.,phishing
"Вы победитель акции! Заберите 1 year cinema pass for 2, позвоните по номеру +44 7700 900123.",phishing
Специальное предложение: 1 year cinema pass for 2 бесплатно. Наберите 09061209465 прямо сейчас.,phishing
"Вы победитель акции! Заберите VIP pass, позвоните по номеру 09061209465.",phishing
Специальное предложение: free ticket package бесплатно. Наберите 8 800 555 35 35 прямо сейчас.,phishing
Специальное предложение: free ticket package бесплатно. Наберите 09061209465 прямо сейчас.,phishing
Поздравляем! Вы выиграли bonus reward. Позвоните сейчас по номеру 09061209465.,phishing
Специальное предложение: bonus reward бесплатно. Наберите 8 800 555 35 35 прямо сейчас.,phishing
"Вы победитель акции! Заберите free ticket package, позвоните по номеру 09061209465.",phishing
Специальное предложение: gift card бесплатно. Наберите 09061209465 прямо сейчас.,phishing
Ваш приз уже готов: free ticket package. Срочно позвоните +44 7700 900123 и подтвердите получение.,phishing
Ваш приз уже готов: VIP pass. Срочно позвоните +44 7700 900123 и подтвердите получение.,phishing
"Вы победитель акции! Заберите VIP pass, позвоните по номеру 8 800 555 35 35.",phishing
Специальное предложение: VIP pass бесплатно. Наберите +1 202 555 0148 прямо сейчас.,phishing
"Вы победитель акции! Заберите VIP pass, позвоните по номеру 8 800 555 35 35.",phishing
Ваш приз уже готов: gift card. Срочно позвоните 09061209465 и подтвердите получение.,phishing
"Вы победитель акции! Заберите gift card, позвоните по номеру 8 800 555 35 35.",phishing
Ваш приз уже готов: free ticket package. Срочно позвоните 09061209465 и подтвердите получение.,phishing
Ваш приз уже готов: holiday voucher. Срочно позвоните +1 202 555 0148 и подтвердите получение.,phishing
"Вы победитель акции! Заберите 1 year cinema pass for 2, позвоните по номеру 8 800 555 35 35.",phishing
Специальное предложение: 1 year cinema pass for 2 бесплатно. Наберите +44 7700 900123 прямо сейчас.,phishing
Ваш приз уже готов: free ticket package. Срочно позвоните 09061209465 и подтвердите получение.,phishing
Специальное предложение: 1 year cinema pass for 2 бесплатно. Наберите +1 202 555 0148 прямо сейчас.,phishing
