text,label
"Meeting moved to 4 pm, please review the draft before then. Safe note #0",safe
Please send me the final report when you have time. Safe note #1,safe
Please send me the final report when you have time. Safe note #2,safe
"Dinner is ready, call me when you arrive. Safe note #3",safe
"Dinner is ready, call me when you arrive. Safe note #4",safe
Please send me the final report when you have time. Safe note #5,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #6",safe
"Dinner is ready, call me when you arrive. Safe note #7",safe
"Dinner is ready, call me when you arrive. Safe note #8",safe
Купи хлеб и молоко по дороге домой. Safe note #9,safe
Купи хлеб и молоко по дороге домой. Safe note #10,safe
Купи хлеб и молоко по дороге домой. Safe note #11,safe
"Dinner is ready, call me when you arrive. Safe note #12",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #13",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #14",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #15",safe
"Dinner is ready, call me when you arrive. Safe note #16",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #17",safe
Купи хлеб и молоко по дороге домой. Safe note #18,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #19",safe
Please send me the final report when you have time. Safe note #20,safe
Купи хлеб и молоко по дороге домой. Safe note #21,safe
Please send me the final report when you have time. Safe note #22,safe
Купи хлеб и молоко по дороге домой. Safe note #23,safe
"Dinner is ready, call me when you arrive. Safe note #24",safe
"Я буду дома после семи, возьми фрукты. Safe note #25",safe
Please send me the final report when you have time. Safe note #26,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #27",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #28",safe
"Dinner is ready, call me when you arrive. Safe note #29",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #30",safe
Please send me the final report when you have time. Safe note #31,safe
"Dinner is ready, call me when you arrive. Safe note #32",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #33",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #34",safe
Купи хлеб и молоко по дороге домой. Safe note #35,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #36",safe
Please send me the final report when you have time. Safe note #37,safe
Please send me the final report when you have time. Safe note #38,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #39",safe
Please send me the final report when you have time. Safe note #40,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #41",safe
Купи хлеб и молоко по дороге домой. Safe note #42,safe
Купи хлеб и молоко по дороге домой. Safe note #43,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #44",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #45",safe
Please send me the final report when you have time. Safe note #46,safe
Купи хлеб и молоко по дороге домой. Safe note #47,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #48",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #49",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #50",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #51",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #52",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #53",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #54",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #55",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #56",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #57",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #58",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #59",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #60",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #61",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #62",safe
"Я буду дома после семи, возьми фрукты. Safe note #63",safe
"Я буду дома после семи, возьми фрукты. Safe note #64",safe
Please send me the final report when you have time. Safe note #65,safe
"Я буду дома после семи, возьми фрукты. Safe note #66",safe
Купи хлеб и молоко по дороге домой. Safe note #67,safe
"Dinner is ready, call me when you arrive. Safe note #68",safe
Please send me the final report when you have time. Safe note #69,safe
"Я буду дома после семи, возьми фрукты. Safe note #70",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #71",safe
Купи хлеб и молоко по дороге домой. Safe note #72,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #73",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #74",safe
Купи хлеб и молоко по дороге домой. Safe note #75,safe
"Я буду дома после семи, возьми фрукты. Safe note #76",safe
Купи хлеб и молоко по дороге домой. Safe note #77,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #78",safe
Купи хлеб и молоко по дороге домой. Safe note #79,safe
"Dinner is ready, call me when you arrive. Safe note #80",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #81",safe
"Dinner is ready, call me when you arrive. Safe note #82",safe
"Я буду дома после семи, возьми фрукты. Safe note #83",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #84",safe
"Dinner is ready, call me when you arrive. Safe note #85",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #86",safe
"Я буду дома после семи, возьми фрукты. Safe note #87",safe
"Dinner is ready, call me when you arrive. Safe note #88",safe
Купи хлеб и молоко по дороге домой. Safe note #89,safe
Please send me the final report when you have time. Safe note #90,safe
"Dinner is ready, call me when you arrive. Safe note #91",safe
"Dinner is ready, call me when you arrive. Safe note #92",safe
"Я буду дома после семи, возьми фрукты. Safe note #93",safe
"Dinner is ready, call me when you arrive. Safe note #94",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #95",safe
"Я буду дома после семи, возьми фрукты. Safe note #96",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #97",safe
"Я буду дома после семи, возьми фрукты. Safe note #98",safe
Please send me the final report when you have time. Safe note #99,safe
Please send me the final report when you have time. Safe note #100,safe
Please send me the final report when you have time. Safe note #101,safe
Купи хлеб и молоко по дороге домой. Safe note #102,safe
Купи хлеб и молоко по дороге домой. Safe note #103,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #104",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #105",safe
"Dinner is ready, call me when you arrive. Safe note #106",safe
"Dinner is ready, call me when you arrive. Safe note #107",safe
"Dinner is ready, call me when you arrive. Safe note #108",safe
Please send me the final report when you have time. Safe note #109,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #110",safe
"Я буду дома после семи, возьми фрукты. Safe note #111",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #112",safe
"Dinner is ready, call me when you arrive. Safe note #113",safe
"Я буду дома после семи, возьми фрукты. Safe note #114",safe
Please send me the final report when you have time. Safe note #115,safe
"Я буду дома после семи, возьми фрукты. Safe note #116",safe
Please send me the final report when you have time. Safe note #117,safe
Please send me the final report when you have time. Safe note #118,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #119",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #120",safe
"Я буду дома после семи, возьми фрукты. Safe note #121",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #122",safe
"Я буду дома после семи, возьми фрукты. Safe note #123",safe
"Dinner is ready, call me when you arrive. Safe note #124",safe
Купи хлеб и молоко по дороге домой. Safe note #125,safe
"Я буду дома после семи, возьми фрукты. Safe note #126",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #127",safe
Please send me the final report when you have time. Safe note #128,safe
"Я буду дома после семи, возьми фрукты. Safe note #129",safe
Купи хлеб и молоко по дороге домой. Safe note #130,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #131",safe
"Dinner is ready, call me when you arrive. Safe note #132",safe
"Я буду дома после семи, возьми фрукты. Safe note #133",safe
Купи хлеб и молоко по дороге домой. Safe note #134,safe
Please send me the final report when you have time. Safe note #135,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #136",safe
"Я буду дома после семи, возьми фрукты. Safe note #137",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #138",safe
"Dinner is ready, call me when you arrive. Safe note #139",safe
Please send me the final report when you have time. Safe note #140,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #141",safe
Купи хлеб и молоко по дороге домой. Safe note #142,safe
Купи хлеб и молоко по дороге домой. Safe note #143,safe
Купи хлеб и молоко по дороге домой. Safe note #144,safe
Купи хлеб и молоко по дороге домой. Safe note #145,safe
"Я буду дома после семи, возьми фрукты. Safe note #146",safe
Купи хлеб и молоко по дороге домой. Safe note #147,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #148",safe
"Dinner is ready, call me when you arrive. Safe note #149",safe
Купи хлеб и молоко по дороге домой. Safe note #150,safe
"Dinner is ready, call me when you arrive. Safe note #151",safe
"Dinner is ready, call me when you arrive. Safe note #152",safe
Please send me the final report when you have time. Safe note #153,safe
"Я буду дома после семи, возьми фрукты. Safe note #154",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #155",safe
Купи хлеб и молоко по дороге домой. Safe note #156,safe
Please send me the final report when you have time. Safe note #157,safe
"Я буду дома после семи, возьми фрукты. Safe note #158",safe
"Я буду дома после семи, возьми фрукты. Safe note #159",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #160",safe
"Dinner is ready, call me when you arrive. Safe note #161",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #162",safe
Купи хлеб и молоко по дороге домой. Safe note #163,safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #164",safe
Купи хлеб и молоко по дороге домой. Safe note #165,safe
"Я буду дома после семи, возьми фрукты. Safe note #166",safe
Купи хлеб и молоко по дороге домой. Safe note #167,safe
Please send me the final report when you have time. Safe note #168,safe
"Dinner is ready, call me when you arrive. Safe note #169",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #170",safe
"Dinner is ready, call me when you arrive. Safe note #171",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #172",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #173",safe
"Я буду дома после семи, возьми фрукты. Safe note #174",safe
Купи хлеб и молоко по дороге домой. Safe note #175,safe
Please send me the final report when you have time. Safe note #176,safe
Купи хлеб и молоко по дороге домой. Safe note #177,safe
Please send me the final report when you have time. Safe note #178,safe
"Dinner is ready, call me when you arrive. Safe note #179",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #180",safe
"Я буду дома после семи, возьми фрукты. Safe note #181",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #182",safe
Купи хлеб и молоко по дороге домой. Safe note #183,safe
Купи хлеб и молоко по дороге домой. Safe note #184,safe
Купи хлеб и молоко по дороге домой. Safe note #185,safe
"Я буду дома после семи, возьми фрукты. Safe note #186",safe
"Dinner is ready, call me when you arrive. Safe note #187",safe
Please send me the final report when you have time. Safe note #188,safe
"Dinner is ready, call me when you arrive. Safe note #189",safe
"Dinner is ready, call me when you arrive. Safe note #190",safe
Купи хлеб и молоко по дороге домой. Safe note #191,safe
Please send me the final report when you have time. Safe note #192,safe
Please send me the final report when you have time. Safe note #193,safe
Купи хлеб и молоко по дороге домой. Safe note #194,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #195",safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #196",safe
"Я буду дома после семи, возьми фрукты. Safe note #197",safe
"Завтра в 10:00 созвон по проекту, не забудь презентацию. Safe note #198",safe
"Dinner is ready, call me when you arrive. Safe note #199",safe
Please send me the final report when you have time. Safe note #200,safe
"Meeting moved to 4 pm, please review the draft before then. Safe note #201",safe
Купи хлеб и молоко по дороге домой. Safe note #202,safe
"Dinner is ready, call me when you arrive. Safe note #203",safe
